nobody	-2
root	0
daemon	1
_uucp	4
_taskgated	13
_networkd	24
_installassistant	25
_lp	26
_postfix	27
_scsd	31
_ces	32
_mcxalr	54
_appleevents	55
_geod	56
_serialnumberd	58
_devdocs	59
_sandbox	60
_mdnsresponder	65
_ard	67
_www	70
_eppc	71
_cvs	72
_svn	73
_mysql	74
_sshd	75
_qtss	76
_cyrus	77
_mailman	78
_appserver	79
_clamav	82
_amavisd	83
_jabber	84
_appowner	87
_windowserver	88
_spotlight	89
_tokend	91
_securityagent	92
_calendar	93
_teamsserver	94
_update_sharing	95
_installer	96
_atsserver	97
_ftp	98
_unknown	99
_softwareupdate	200
_coreaudiod	202
_screensaver	203
_locationd	205
_trustevaluationagent	208
_timezone	210
_lda	211
_cvmsroot	212
_usbmuxd	213
_dovecot	214
_dpaudio	215
_postgres	216
_krbtgt	217
_kadmin_admin	218
_kadmin_changepw	219
_devicemgr	220
_webauthserver	221
_netbios	222
_warmd	224
_dovenull	227
_netstatistics	228
_avbdeviced	229
_krb_krbtgt	230
_krb_kadmin	231
_krb_changepw	232
_krb_kerberos	233
_krb_anonymous	234
_assetcache	235
_coremediaiod	236
_xcsbuildagent	237
_xcscredserver	238
_launchservicesd	239
